# Twilight Imperium Fourth Edition Phase-Mapped Card Catalogue

## Executive summary

This report maps the **phase-relevant card ecosystem** of *Twilight Imperium Fourth Edition* across the **Base Game**, **Prophecy of Kings**, **Codex Volumes I–IV**, and **Thunder’s Edge**, with special attention to **replacement logic** and **Omega versions**. The core pattern is stable: the base game establishes the eight strategy cards, public/basic technologies, faction technologies, promissory notes, and the original action-card timing windows; *Prophecy of Kings* adds leaders, legendary planets, more technologies and promissory notes, and revises the **Diplomacy** and **Construction** strategy cards; the Codices introduce **Omega / replacement** content and new factions; and *Thunder’s Edge* further expands the card pool while also replacing some earlier materials again, including strategy-card and technology updates. citeturn7view0turn24search3turn19search0turn24search8turn24search0

Two practical conclusions matter most for rules work. First, **phase mapping is best done by timing window**, not by component category: most relevant cards hook into one of these windows—**strategy selection**, **strategic action**, **activation**, **movement**, **space cannon offense**, **start of combat round**, **after rolls**, **invasion substeps**, **production**, **status start/end**, and **agenda reveal/vote/outcome**. Second, **version control matters**: if you are using all current official material, you should treat **PoK Diplomacy/Construction**, **Codex Omega cards**, **Codex III leader Omegas**, and the **Thunder’s Edge updates** as the live versions where they replace older cards. citeturn20view0turn20view1turn21view0turn21view1turn19search1turn35view0turn24search0

For source quality, I prioritized **Fantasy Flight / official rules PDFs and product-document pages** for set identity, phase structure, and replacement statements. I used **Twilight Imperium Wiki** and, where helpful, **TI Rules** and **TI4 Kiosk** as secondary catalogues for card-level text summaries, Omega markings, and phase tagging, because the official sources do not provide one single parsed, machine-readable database for every card across all sets. Where a card’s latest text is only clearly exposed in secondary catalogues, I flag that explicitly. citeturn9view0turn24search3turn24search8turn19search0turn19search1turn12search0turn11search6

## Scope and source model

The official rules reference defines the four main phases—**Strategy, Action, Status, Agenda**—and the tactical-action substructure used during the Action Phase. In particular, the rules identify **movement**, **space cannon offense**, **invasion**, **bombardment**, **commit ground forces**, **space cannon defense**, **ground combat**, and **production** as distinct timing steps or related windows. Those are the anchors used in the phase tags throughout this report. citeturn20view0turn20view1turn20view4turn20view5turn21view0turn21view1

The base rules also establish that players begin with faction technologies and promissory notes, and that promissory notes themselves are timing-text components. *Prophecy of Kings* then adds **leaders**, **24 promissory notes**, **128 technology cards**, **40 planet cards**, and **4 legendary planet ability cards**, while also revising **Diplomacy** and **Construction** and instructing players to integrate the new components into the base game. citeturn9view0turn21view2turn4view0turn7view0turn7view1

For version control, the community-maintained **Version Tracking** and **Omegas** catalogues are especially useful because they summarize the official Omega convention: **Ω** marks an updated card, and the updated card **replaces** the earlier printing of the same name/type. Those secondary catalogues also track later **ΩΩ** styling where Thunder’s Edge or later Codices supersede earlier Omega revisions. I treat those pages as secondary but highly useful indexing tools, cross-checked against the official Codex and Thunder’s Edge document archive. citeturn19search1turn19search0turn24search3turn24search0

## Version and replacement framework

The table below is the practical replacement map for live rules work.

| Component family | Original live set | Later official replacement path | Current live guidance |
|---|---|---|---|
| **Diplomacy** strategy card | Base | PoK revised version; also indexed as **Diplomacy Ω** in later all-expansions catalogues | Use the **PoK/Codex-indexed Diplomacy Ω** version in full-expansion play |
| **Construction** strategy card | Base | PoK **Construction Ω**; then TE **Construction ΩΩ** | Use the **Thunder’s Edge** Construction when TE is in use |
| **Warfare** strategy card | Base | TE **Warfare Ω** | Use the **Thunder’s Edge** Warfare when TE is in use |
| **Magen Defense Grid** | Base | Codex I **Ω**; later updated again in later official products / TE replacement context | Use the latest official version present in your card set; TE explicitly instructs replacement of earlier copies |
| **X-89 Bacterial Weapon** | Base | Codex I **Ω**; Codex IV **ΩΩ**; TE also instructs replacement of earlier copies | Use the latest official version present in your card set |
| **Wormhole Generator** | Base | Codex I **Ω** | Use **Ω** |
| **Yin Spinner** | Base | Codex I **Ω** | Use **Ω** |
| **Magmus Reactor** | Base | Codex I **Ω** | Use **Ω** |
| **Stymie / War Funding / Cybernetic Enhancements / Acquiescence / Greyfire Mutagen** promissory notes | Base | Codex I **Ω** promissory replacements | Use **Ω** versions |
| **Naalu leaders** | PoK | Codex III **Ω** agent/commander adjustments | Use **Codex III Ω** versions |
| **Yin leaders** | PoK | Codex III **Ω** full leader pass | Use **Codex III Ω** versions |
| **Xxcha hero** | PoK | Codex III **Ω** hero rework | Use **Codex III Ω** version |
| **Council Keleres I.I.H.Q. Modernization** | Codex III faction tech | TE moves it to a **Breakthrough** according to the faction-tech catalogue | Treat the TE state as superseding Codex III when TE is in use |

These replacement relationships are directly supported by the official PoK integration instructions, the official FFG document archive listing all Codices and TE support files, the TE rulebook snippets that describe replacement of earlier tech copies, and the secondary strategy/Omega/faction-tech catalogues that track which version is current in all-expansion play. citeturn7view0turn24search3turn24search0turn19search0turn35view0turn31view2

The most important version caveat is that *Thunder’s Edge* is not just additive. The official rulebook snippet states that, if you have previous versions, you replace card sets including **eight copies each of Magen Defense Grid and X-89 Bacterial Weapon**, and the strategy-card catalogue shows **Construction ΩΩ** and **Warfare Ω** in full-expansion play. That means any database that mixes base, Codex I, Codex IV, and Thunder’s Edge tech texts without version tagging will produce false timing calls. citeturn24search0turn35view0turn35view1turn35view3

## Phase map used in this catalogue

```mermaid
flowchart LR
    SP[Strategy Phase]
    AP[Action Phase]
    ST[Status Phase]
    AG[Agenda Phase]

    SP --> AP
    AP --> TA[Tactical Action]
    AP --> SA[Strategic Action]
    AP --> CA[Component Action]
    AP --> PASS[Pass]

    TA --> ACT[Activation]
    ACT --> MOV[Movement]
    MOV --> SCO[Space Cannon Offense]
    SCO --> SC[Space Combat]
    SC --> INV[Invasion]
    INV --> BOMB[Bombardment]
    INV --> CGF[Commit Ground Forces]
    INV --> SCD[Space Cannon Defense]
    INV --> GC[Ground Combat]
    INV --> EC[Establish Control]
    INV --> PROD[Production]

    AP --> ST
    ST --> AG
```

This map follows the official rules reference entries for **Strategy Phase**, **Action Phase**, **Strategic Action**, **Movement**, **Space Cannon**, and **Invasion**. It is the basis for all phase tags below: **Strategy**, **Action**, **Activation**, **Movement**, **Space Cannon Offense**, **Space Combat**, **Invasion**, **Bombardment**, **Commit Ground Forces**, **Space Cannon Defense**, **Ground Combat**, **Production**, **Status**, **Agenda**, and a catch-all **Persistent / multi-phase** tag for cards that continuously modify one or more windows rather than triggering at a single printed step. citeturn20view0turn20view1turn20view4turn20view5turn21view0turn21view1turn21view3

## Card catalogues

### Strategy cards and officially replaced versions

The strategy-card pool is small enough to catalogue cleanly. The main version-sensitive cards are **Diplomacy**, **Construction**, and **Warfare**; the others remain functionally stable in the all-expansions catalogues. citeturn35view0turn35view1turn35view2turn35view3

| Card | Type | Source set | Version tag | Replaces / replaced by | Main phase window | Effect summary | Notes |
| Hacan | Quantum Datahub Node | Yellow | Base | Original | End of Strategy | Pay TGs/token to swap strategy cards | Direct Strategy-Phase manipulation |
| Creuss | Wormhole Generator | Blue | Base | Deprecated | Start of Status | Place/move Creuss wormhole | Replaced by Ω |
| Creuss | Wormhole Generator Ω | Blue | Codex I | Replacement | Component Action | Exhaust-action version of wormhole placement | Live replacement |
| Creuss | Dimensional Splicer | Red | Base | Original | Start of Space Combat | Auto-hit in systems with wormholes and your ships | Classic start-of-combat timing |
| L1Z1X | Inheritance Systems | Yellow | Base | Original | Technology research | Exhaust + pay resources to ignore prerequisites | Tech-window modifier |
| Mentak | Salvage Operations | Yellow | Base | Original | After Space Combat | Gain TG; if victorious, produce a destroyed ship type there | Post-combat production |
| Mentak | Mirror Computing | Yellow | Base | Original | Spending windows | Trade goods count as 2 resources/influence | Persistent economy modifier |
| Naalu | Neuroglaive | Green | Base | Original | After enemy activation | Enemy removes fleet token when activating your-ship system | Activation punishment |
| Nekro | Valefar Assimilator X / Y | — | Base | Original | Tech gain | Assimilates other factions’ faction tech text | Persistent technology-copy engine |
| Sardakk | Valkyrie Particle Weave | Red | Base | Original | Ground Combat round | If opponent produced hits, you produce +1 hit | Ground-combat timing |
| Jol-Nar | E-Res Siphons | Yellow | Base | Original | After enemy activation | Gain 4 TGs when enemy activates your-ship system | Activation punishment |
| Jol-Nar | Spacial Conduit Cylinder | Blue | Base | Original | After activation / movement | Exhaust to make active system adjacent to all your-unit systems | Massive movement extension |
| Winnu | Lazax Gate Folding | Blue | Base | Original | Tactical Action / Component Action | Mecatol becomes wormhole if uncontrolled; if controlled, exhaust to reinforce Mecatol | Action-phase positional tool |
| Winnu | Hegemonic Trade Policy | Yellow | Base | Original | Production | Swap one planet’s resource/influence values during production | Production-window economy |
| Xxcha | Nullification Field | Yellow | Base | Original | After enemy activation | Exhaust + spend token to end that player’s turn | Hard action-phase stop |
| Xxcha | Instinct Training | Green | Base | Original | When action card played | Exhaust + spend token to cancel action card | Sabotage-like counter-window |
| Yin | Yin Spinner | Green | Base | Deprecated | After Production | Place infantry in produced system | Replaced by Ω |
| Yin | Yin Spinner Ω | Green | Codex I | Replacement | After Production | Place up to 2 infantry on planets/space with your ships | Live replacement |
| Yssaril | Transparasteel Plating | Green | Base | Original | Agenda / transactions / targeting | Defensive hand/privacy utility | Persistent |
| Yssaril | Mageon Implants | Green | Base | Original | Action / neighbors | Hand theft from neighbors | Timing depends on active use |
| Argent | Aerie Hololattice | — | PoK | Original | Persistent / structure control | Positional-defense modifier | Mainly persistent |
| Argent | unspecified second non-unit tech | — | PoK | Original | unspecified | See official card images / kiosk catalogue | Secondary-source gap |
| Empyrean | Voidwatch | Green | PoK | Original | After activation / frontier warfare | Space cannon-like deterrence | Activation/anti-move hook |
| Mahact | Genetic Recombination | Green | PoK | Original | Before votes | Force vote or fleet-pool loss | Agenda timing |
| Naaz-Rokha | Supercharge | Red | PoK | Original | Start of combat round | +1 combat rolls this round | Combat-round pump |
| Naaz-Rokha | Pre-Fab Arcologies | Green | PoK | Original | After explore | Ready explored planet | Explore/status economy |
| Nomad | Temporal Command Suite | Yellow | PoK | Original | After agent exhausts | Ready that agent; maybe transact | Leader-timing support |
| Vuil’Raith | Vortex | Red | PoK | Original | Component Action | Capture adjacent non-structure unit type | Action-phase removal |
| Keleres | I.I.H.Q. Modernization | Yellow | Codex III | Superseded in TE | Persistent | Neighbors near Mecatol; grants Custodia Vigilia card | Moved to Breakthrough in TE catalogue |
| Crimson Rebellion | Subatomic Splicer | Yellow | TE | Original | When ship destroyed | Produce same-type ship at home dock | Destruction-response timing |
| Deepwrought | Radical Advancement | Green | TE | Original | Start of Status | Upgrade a non-unit tech to one with exactly one more prerequisite | Status-phase tech ladder |
| Deepwrought | Hydrothermal Mining | Green | TE | Original | Start of Status | Gain TG per ocean card in play | Status economy |
| Firmament | Plane Splitter | Yellow | TE | Original | On gain / transformation | Puts The Fracture into play; flips on transformation | State-transition tech |
| Firmament / Obsidian | Neural Parasite | Green | TE | Original / transformed | Start of Status or start of turn | Firmament: home-system infantry growth; Obsidian: kill adjacent enemy infantry | Transformation-sensitive |
| Last Bastion | Proxima Targeting VI | Red | TE | Original | Combat / targeting | Secondary catalogue identifies as TE warfare tech | Full text best checked in TE cards |
| Ral Nel | unspecified faction tech | Red | TE | Original | unspecified | Present in faction-tech catalogue; use TE cards for exact live text | Secondary-source gap |

#### Unit-upgrade technologies with textual phase hooks

| Card | Set | Faction | Phase relevance | Summary |
|---|---|---|---|---|
| Destroyer II | Base | Neutral | Anti-Fighter Barrage | Improves AFB dramatically |
| Strike Wing Alpha II | PoK | Argent | Anti-Fighter Barrage / infantry in space | 9–10 AFB results also kill infantry in space |
| Dreadnought II | Base | Neutral | Space Combat / Bombardment | Cannot be destroyed by **Direct Hit** |
| Super-Dreadnought II | Base | L1Z1X | Space Combat / Bombardment | Better bombardment and capacity; Direct Hit immunity |
| Exotrireme II | Base | Sardakk | After a round of Space Combat | May self-destruct to kill up to 2 ships |
| Fighter II | Base | Neutral | Movement / fleet-pool check | Can move without transport |
| Hybrid Crystal Fighter II | Base | Naalu | Movement / fleet-pool check | Same, but excess fighters count as half ship |
| Spec Ops II | Base | Sol | Destruction / next turn | On destruction, can return to home system next turn |
| Letani Warrior II | Base | Arborec | Destruction / next turn; Production | Similar return loop plus **Production 2** |
| Crimson Legionnaire II | PoK | Mahact | Destruction / next turn | Commodity/TG trigger, then returns next turn |
| PDS II | Base | Neutral | Space Cannon Offense | Fires into adjacent systems |
| Hel Titan II | PoK | Titans | Space Cannon Offense / Defense; Production | Adjacent fire, sustain, production, ground-force/structure hybrid |
| Floating Factory II | Base | Saar | Movement / retreat / Production | Mobile space-dock logic in space area |
| Dimensional Tear II | PoK | Vuil’Raith | Movement / gravity-rift / fighter capacity | System becomes gravity rift you ignore |
| War Sun | Base | Neutral | Bombardment / Planetary Shield | Removes enemy planetary shield in system |
| Prototype War Sun II | Base | Muaat | Bombardment / Movement | Same shield-bypass, but better move/cost |
| Memoria II | PoK | Nomad | Adjacency / anti-fighter barrage | Treat as adjacent to systems with your mechs |

### Promissory notes

Promissory notes are inherently phase-indexed because the rules reference describes them as timing-text components, and the promissory-note catalogue cleanly separates general notes, base-faction notes, PoK notes, Codex III, and Thunder’s Edge notes. The table below is intentionally complete for currently exposed phase-relevant notes. citeturn21view2turn23view2turn23view3turn29view0turn29view1turn29view2turn29view3turn29view4turn30view0turn30view1turn30view2turn30view3

| Card | Type | Set | Version | Faction | Phase / substep | Effect summary | Notes |
|---|---|---|---|---|---|---|---|
| Ceasefire | General | Base | Original | Neutral/color | After activation | Stops movement into active system, then returns | Pure tactical stop |
| Trade Agreement | General | Base | Original | Neutral/color | Commodity refresh | Receive all that player’s commodities, then return | Trade timing |
| Political Secret | General | Base | Original | Neutral/color | When agenda revealed | Player cannot vote/play ACs/use chosen faction abilities on that agenda | FAQ says passive/mandatory abilities still function |
| Support for the Throne | General | Base | Original | Neutral/color | Persistent scoring | Face-up VP note | Not a phase trigger, but score-state modifier |
| Alliance | General | PoK | Original | Neutral/color | On receipt / until activation condition | Grants commander ability while face-up | Added by PoK |
| Stymie | Faction PN | Base | Deprecated | Arborec | Action / persistent lock | Original production lockout | Replaced by Ω |
| Stymie Ω | Faction PN | Codex I | Replacement | Arborec | After enemy movement | Place enemy token in non-home system | Live version |
| War Funding | Faction PN | Base | Deprecated | Letnev | Start of space combat round | Rerolls; cost to Letnev | Replaced by Ω |
| War Funding Ω | Faction PN | Codex I | Replacement | Letnev | After both sides roll dice in space combat | Reroll all enemy dice, then any of yours | Live version |
| Ragh’s Call | Faction PN | Base | Original | Saar | After commit to land | Saar evacuates ground forces from invaded planet | Invasion trick |
| Fires of the Gashlai | Faction PN | Base | Original | Muaat | Component Action | Gain War Sun tech by costing Muaat fleet token | Action-phase tech jump |
| Trade Convoys | Faction PN | Base | Original | Hacan | Action / persistent transaction state | Transact with non-neighbors until broken | Diplomatic timing |
