# Twilight Imperium Card Ability Timing Report

## Executive summary

This report analyzes **Twilight Imperium Fourth Edition with Prophecy of Kings**, and it treats the **Living Rules Reference + FAQ** as the primary authority, because the Rules Reference explicitly overrides the Learn to Play book when they conflict. It also applies the core card-precedence rule: **if a card contradicts the Rules Reference, the card takes precedence; if both can be followed, both should be followed**. That rule is the foundation for almost every “card vs. base rules” interaction in the game. citeturn30view1turn31view0

The most important timing rules are compact but decisive. In TI4, **“when” abilities occur at the moment of the event and take priority over “after” abilities**; **“before/after”** windows resolve immediately adjacent to the event; **“then”** means the text before “then” must be resolved first or the later clause cannot be resolved; **“may”** makes a clause optional; and abilities on components that remain in play are otherwise mandatory unless they say “may.” If multiple abilities are to be resolved in the **action phase**, players resolve them in **initiative order beginning with the active player**; in the **strategy** or **agenda** phases, they resolve starting with the **speaker** and proceeding clockwise. citeturn30view1turn26view2

For combat and invasion windows, the most important procedural anchors are these. **Space Cannon Offense** occurs **after Move Ships** during a tactical action, beginning with the active player and then clockwise. **Space Cannon Defense** occurs only during the invasion on the invaded planet(s), not from adjacent systems. In **space combat**, “before combat” occurs immediately before Anti-Fighter Barrage, and in the **first** combat round the “start of combat” and “start of combat round” windows are the same window; likewise the “end of combat” and “end of combat round” windows merge in the last round. The active player is the **attacker**; a widely used official-rulings compendium notes that the attacker gets the first opportunity to resolve abilities in each combat timing window. citeturn26view4turn26view5turn26view3turn26view7turn27view0

The official support page shows that, by 2025, TI4 has **Codex I–IV**, **Prophecy of Kings**, **Thunder’s Edge**, and a **Codex 4.5 Technology Card Updates** file available as separate official materials. Because your prompt centers on heroes and the classic TI4 phase structure, this report **focuses on base game + Prophecy of Kings + Codex-era replacements only where the replacement text was directly retrievable**. It **does not attempt to fold Thunder’s Edge or Twilight’s Fall into the main catalogue** unless explicitly stated, and any card text not directly retrievable from the accessible sources is marked **“unspecified.”** citeturn31view0

## Scope and rules hierarchy

The official phase skeleton is unchanged: the game round proceeds through **strategy phase**, **action phase**, **status phase**, and—once Mecatol Rex has entered play politically—**agenda phase**. The Prophecy of Kings rulebook also provides a compact quick-reference sequence for the tactical action: **Activation → Movement → Space Cannon Offense → Space Combat → Invasion → Production**. The Living Rules Reference gives the legal details for how card windows plug into that skeleton. citeturn29view0turn30view3turn28view5

For timing analysis, the following hierarchy is the safest way to adjudicate abilities:

| Priority order | Rule |
|---|---|
| Highest | Card text overrides the Rules Reference if they contradict. citeturn30view1 |
| Next | “When” effects take priority over “after” effects. citeturn30view1turn26view2 |
| Next | “Cannot” is absolute; if two “cannot” abilities conflict with an enabling or cancel effect, persistent “cannot” beats one-time ability, and enabling beats cancel. citeturn30view1 |
| Next | In action-phase shared windows, resolve in initiative order starting with the active player. In strategy/agenda shared windows, start with the speaker and go clockwise. citeturn30view1 |
| Next | If a card says “then,” the earlier clause must resolve first. citeturn30view1 |
| Baseline | If a cost cannot be paid, the ability’s effect cannot be resolved. citeturn30view1 |

Two global action-card rules matter constantly. First, a card whose first paragraph begins **“Action:”** is a **component action** and can only be played during your turn in the action phase. Second, **multiple action cards with the same name cannot be played in a single timing window to affect the same units or the same game effect**; canceled cards are not treated as played. citeturn6view3turn26view9

## Master catalogue

The full card pool across base game, Prophecy of Kings, Codex updates, generic promissories, leaders, mechs, flagships, faction technologies, and unit upgrades is extremely large. To keep the report usable, the master catalogue below is split by component family and compresses some entries with identical timing structures into grouped rows. Wherever the accessible materials did not expose the full verified card text before token cutoff, the entry is marked **unspecified**.

Abbreviation key used in the tables: **O** optional, **M** mandatory, **Act** component action, **Int** interrupt or replacement “when”, **Resp** reactive “before/after”, **Cont** continuous, **Exh** exhaust, **Purge** one-shot purge.

### Core timing windows and generic action cards

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
| Ghost Squad | action | “After a player commits units to land on a planet you control…” | Invasion, Commit Ground Forces | Resp | Redeploy your ground forces among planets in active system | O | Reposition after commit, before ground combats. citeturn12view3turn12view5 | Invasion order. citeturn29view0 | Shift infantry to the actual attacked planet |
| Solar Flare | action | “After you activate a system: During this movement, other players cannot use SPACE CANNON against your ships.” | Tactical action, activation affecting movement | Resp | Turns off Space Cannon against your moving ships | O | Omega text clarifies this is during the “Movement” step of the tactical action. citeturn13view1turn12view5 | Space Cannon Offense after movement. citeturn26view4 | Enter a PDS network safely |
| War Machine | action | “When 1 or more of your units use PRODUCTION…” | Production | Int | +4 total production, -1 total cost | O | Omega clarifies “those units.” citeturn13view1turn12view5 | Production / costs. citeturn30view1 | Squeeze one more ship and save a resource |
| Public Disgrace | action | “When another player chooses a strategy card during the strategy phase…” | Strategy phase, choose strategy card step | Int | They must choose a different strategy card if able | O | Replacement-style “when.” citeturn12view2 | Strategy phase 84.1. citeturn28view0 | Knock an opponent off Imperial |
| Summit | action | “At the start of the strategy phase: Gain 2 command tokens.” | Strategy phase start | Resp | Adds CTs before strategy-card choice | O | Straight start-of-phase effect. citeturn13view0 | Strategy phase. citeturn28view0 | Gain flexibility before the round begins |
| Bribery | action | “After the speaker votes on an agenda…” | Agenda, vote timing | Resp | Spend any number of TG; cast that many extra votes for your chosen outcome | O + cost | FAQ: if speaker abstains or cannot vote, the window still occurs after the point the speaker would have voted. citeturn7view0turn28view6 | Agenda phase 8.2, 8.5; abilities timing. citeturn28view5turn30view1 | Swing an agenda after your normal vote |
| Distinguished Councilor | action | “After you cast votes on an outcome of an agenda: Cast 5 additional votes for that outcome.” | Agenda, vote timing | Resp | +5 votes for your voted outcome | O | Must follow your normal vote and same outcome. citeturn12view1turn6view2 | Agenda vote timing. citeturn28view5 | Lock in a close law |
| Assassinate Representative | action | “After an agenda is revealed…” | Agenda, reveal agenda | Resp | Chosen player cannot vote on that agenda | O | Does not stop riders unless text says so; Nekro can still play riders even when they cannot vote. citeturn12view0turn26view1 | Agenda 8.2.i–ii. citeturn28view5 | Prevent the biggest influence pile from voting |
| Ancient Burial Sites | action | “At the start of the agenda phase…” | Agenda phase start | Resp | Exhaust all cultural planets owned by 1 player | O | Hits before first reveal. citeturn12view0 | Agenda phase start. citeturn28view5 | Strip cultural votes before agendas begin |
| Confusing Legal Text / Confounding Legal Text | action | “When you/another player is elected…” | Agenda outcome resolution | Int | Redirect the elected-player outcome to you | O | “When” replacement-style election redirection. citeturn12view0turn13view1 | Agenda outcome resolution. citeturn28view5turn30view1 | Take Minister of Policy for yourself |
| Hack Election / Hack Election Ω | action | “After an agenda is revealed…” | Agenda reveal | Resp | Base: reverse vote direction; Ω: you vote last | O | Both alter the order in the voting step. citeturn12view3turn12view5 | Agenda reveal / vote order. citeturn28view5 | Delay your commitment until others vote |
| Rider cycle: Construction / Diplomacy / Imperial / Leadership / Politics / Sanction / Technology / Trade / Warfare Riders | action | “After an agenda is revealed: You cannot vote on this agenda. Predict aloud an outcome…” | Agenda reveal | Resp | All riders create conditional rewards if prediction is correct | O | FAQ: a player may play multiple riders on one agenda, including on opposite outcomes; even a player who cannot vote may still play riders. citeturn7view0turn26view1 | Agenda reveal and vote. citeturn28view5turn30view1 | Announce Imperial Rider before any votes are cast |
| Coup d’Etat | action | “When another player would perform a strategic action…” | Action phase, strategic action declaration | Int | Ends their turn; strategy card not resolved or exhausted | O | Replacement-style “when.” citeturn13view1 | Strategic Action 82. citeturn30view3 | Stop a crucial Imperial or Warfare play |
| Extreme Duress | action | “At the start of another player’s turn, if they have a readied strategy card…” | Action phase, start of turn | Resp | Punishes them if their next action is not strategic | O | Creates a delayed obligation. citeturn13view2 | Action phase turn structure. citeturn6view3 | Force an opponent to burn their strategy card now |
| Reverse Engineer | action | “When another player discards an action card that has a component action: Take that action card…” | Any discard event | Int | Recurs a discarded component-action AC | O | Works only on cards with component action text. citeturn12view4 | Action card rules / component action. citeturn6view3turn26view9 | Recover a discarded Signal Jamming |
| Reveal Prototype | action | “At the start of a combat: Spend 4 resources to research a unit upgrade…” | Start of combat | Resp + cost | Instantly researches a matching unit upgrade | O + cost | Must match participating unit type. citeturn12view4 | Start-of-combat timing. citeturn26view3 | Upgrade Dreadnought II just before battle |
| Mercenary Contract / Pirate Contract / Pirate Fleet / Puppets on a String | action | Retrieved text confirms all are **Action:** cards with their full effect resolved as component actions; Pirate Contract/Fleet create neutral ships; Mercenary Contract places neutral infantry; Puppets on a String lets a player who has passed perform 1 action at end of any player’s turn. | Action phase or end-of-turn window | Act / Resp | Special nonstandard component effects | O | Text confirmed only from accessible excerpts; neutral-unit interactions beyond printed text not exhaustively reconstructed here. citeturn13view2 | Component action rule. citeturn6view3turn26view9 | A passed player still acts via Puppets on a String |

### Technologies and unit upgrades

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
|---|---|---|---|---|---|---|---|---|---|
| Neural Motivator | tech | “During the status phase, draw 2 action cards instead of 1.” | Status phase, Draw Action Cards | Cont | Replaces your draw with 2 | M | TI Rules notes it applies only to the normal status-phase draw, not Politics or similar effects. citeturn15view0turn8search0 | Status phase step 3. citeturn30view3 | Draw two ACs each status instead of one |
| Dacxive Animators | tech | “After you win a ground combat, you may place 1 infantry…” | Ground combat end | Resp | Rebuilds one infantry after victory | O | Checks after winning that combat. citeturn16view0 | Ground combat / establish control. citeturn29view0 | Win invasive fight and leave extra ground force |
| Hyper Metabolism | tech | “During the status phase, gain 3 command tokens instead of 2.” | Status phase, Gain and Redistribute CTs | Cont | +1 CT in status | M | Replaces the normal “gain 2” step. citeturn16view0turn30view3 | Status phase step 5. citeturn30view3 | Gain a third command token during redistribution |
| X-89 Bacterial Weapon / Ω | tech | Base: “Action: Exhaust… ships with Bombardment; destroy all infantry…”; Ω: “After Bombardment… if at least 1 infantry was destroyed, you may destroy all opponent infantry on that planet.” | Base: action phase; Ω: invasion, after Bombardment | Act / Resp + Exh | Anti-infantry wipe | O | The Ω version is much more tightly tied to actual Bombardment resolution. citeturn16view0turn36view0 | Abilities, Bombardment, Planetary Shield. citeturn30view1turn8search22 | Bombard a defended world, then erase remaining infantry |
| Antimass Deflectors | tech | “Your ships can move into and through asteroid fields… other players’ Space Cannon against your units get -1.” | Movement; Space Cannon | Cont | Movement permission + SC defense | M | Applies whenever SC is used against your units. citeturn15view1 | Movement 58; Space Cannon 77. citeturn28view2turn26view4 | Fly through asteroid field under PDS fire |
| Gravity Drive | tech | “After you activate a system, apply +1 to the move value of 1 of your ships…” | Tactical action after activation | Resp | +1 move to one ship | O | One of the most commonly checked movement windows. citeturn16view1 | Movement 58; tactical sequence. citeturn28view2turn29view0 | Send one carrier one hex farther |
| Fleet Logistics | tech | “During each of your turns of the action phase, you may perform 2 actions instead of 1.” | Action phase turn | Cont | Double action turn | O | The second action occurs on the same turn after the first finishes. citeturn16view1 | Action phase structure. citeturn6view3 | Tactical action followed by immediate strategic action |
| Light/Wave Deflector | tech | “Your ships can move through systems that contain other players’ ships.” | Movement | Cont | Enables passage through enemy-occupied systems | M | Does not itself override other movement restrictions. citeturn36view1 | Movement 58. citeturn28view2 | Jump through an enemy-held choke point |
| Dark Energy Tap | tech | “After you perform a tactical action in a frontier-token system… explore that token… Your ships can retreat into adjacent systems that do not contain other players’ units…” | End of tactical action; retreat legality | Resp / Cont | Frontier exploration + broader retreat options | O / M | Second clause changes retreat destination legality. citeturn36view3 | Tactical action; retreat rules. citeturn29view0turn26view3 | Explore frontier then retreat to ordinarily illegal empty space |
| Sling Relay | tech | “Action: Exhaust this card to produce 1 ship in any system that contains 1 of your space docks.” | Action phase | Act + Exh | Produces one ship as a component action | O | It is a component action, so it consumes your action unless Fleet Logistics or similar says otherwise. citeturn37view5 | Component actions. citeturn6view3turn26view9 | Build a destroyer without using Technology or Construction |
| Plasma Scoring | tech | “When 1 or more of your units use Bombardment or Space Cannon, 1 of those units may roll 1 additional die.” | Bombardment / Space Cannon | Resp | Adds one extra die to one eligible unit | O | Applies in both Bombardment and Space Cannon, not normal combat rolls. citeturn15view3turn36view7 | Bombardment; Space Cannon. citeturn29view0turn26view4 | Give one war sun a fourth bombardment die |
| Magen Defense Grid / Ω | tech | Base: “You may exhaust… at the start of a round of ground combat… opponent cannot make combat rolls.” Ω: “At the start of ground combat on a planet with your structures, you may produce 1 hit…” | Ground combat start | Resp + Exh / Resp | Either suppresses enemy rolls or auto-deals a hit | O | Very sensitive to the exact wording of the version in use. citeturn16view3 | Ground combat timing. citeturn29view0turn30view1 | Defender auto-kills one infantry before dice |
| Assault Cannon | tech | “At the start of a space combat in a system that contains 3 or more of your non-fighter ships, your opponent must destroy 1 of their non-fighter ships.” | Space combat start | Resp | Free precombat kill | M | Checks before standard steps; same opening window as other start-of-combat effects. citeturn36view8 | Space combat 78.2. citeturn26view3 | Bring 3 non-fighters to force a destroy-before-roll |
| Sarween Tools | tech | “When 1 or more of your units use Production, reduce the combined cost… by 1.” | Production | Resp | -1 cost | M | Classic production discount. citeturn15view2 | Production / costs. citeturn30view1 | Discount a carrier build by 1 |
| Graviton Laser System | tech | “You may exhaust this card before units use Space Cannon; hits must be assigned to non-fighter ships if able.” | Space Cannon Offense / Defense | Resp + Exh | Overrides normal hit assignment priority | O | Only affects that SC use. citeturn16view2 | Space Cannon 77. citeturn26view4turn26view5 | Force a hit onto a carrier instead of fighters |
| Transit Diodes | tech | “You may exhaust this card at the start of your turn during the action phase…” | Action phase, start of your turn | Resp + Exh | Reposition up to 4 ground forces onto controlled planets | O | Classic start-of-turn logistics tool. citeturn16view2 | Action phase turn structure. citeturn6view3 | Rebalance home and frontier garrisons |
| Integrated Economy | tech | “After you gain control of a planet, you may produce units on that planet up to its resource value.” | Invasion, after Establish Control | Resp | Immediate follow-up production | O | Only after control is actually gained. citeturn36view4 | Invasion step 5 / Production. citeturn26view8turn29view0 | Invade a 4-resource planet and instantly build there |
| Scanlink Drone Network | tech | “When you activate a system, you may explore 1 planet in that system…” | Tactical activation | Resp | Extra exploration | O | Requires your units on the planet. citeturn37view3 | Activation / exploration. citeturn29view0 | Re-explore a controlled frontier world |
| Predictive Intelligence | tech | “At the end of your turn, you may exhaust… redistribute command tokens”; “When you cast votes… you may cast 3 additional votes…” | End of your turn; agenda vote | Resp + Exh | Flexible CT rearrangement; conditional +3 votes | O | If extra votes fail to win, the card exhausts. citeturn37view4 | Action turn end; agenda phase. citeturn6view3turn28view5 | Vote harder or fix fleet/tactic split after acting |
| AI Development Algorithm | tech | “When you research a unit upgrade… ignore any 1 prerequisite”; “When units use Production… reduce cost by number of unit upgrades you own.” | Research; Production | Resp + Exh | Unit-upgrade accelerant and production discount | O | One of the most timing-sensitive PoK techs for tech paths. citeturn37view2 | Technology and Production. citeturn31view0turn30view1 | Research PDS II with one fewer prerequisite |
| Supercharge | tech | “At the start of a combat round, you may exhaust this card to apply +1 to each of your units’ combat rolls during this combat round.” | Any combat round start | Resp + Exh | Full-round combat buff | O | Applies per combat round, not once per combat. citeturn37view7 | Combat timing. citeturn26view3 | Boost all ships or all ground forces for round 1 |
| Chaos Mapping | faction tech | “Other players cannot activate asteroid fields that contain your ships… At the start of your turn… you may produce 1 unit…” | Activation restriction; start of your turn | Cont / Resp | Locks asteroid fields and grants start-turn production | M / O | Notable because it creates a production check **before** your action. citeturn36view1 | Activation and action turn start. citeturn6view3turn28view2 | Produce a fighter in an asteroid field before acting |
| Wormhole Generator / Ω | faction tech | Base: “At the start of the status phase, place or move a Creuss wormhole token…” Ω: “Action: Exhaust…” | Status phase start / action phase | Resp / Act + Exh | Places or moves a Creuss wormhole token | O | Exact window depends on whether base or Ω card is used. citeturn36view2 | Status phase; component action. citeturn30view3turn6view3 | Reposition a wormhole before agendas or as an action |
| Lazax Gate Folding | faction tech | “During your tactical actions, if you do not control Mecatol Rex, treat its system as if it has both α and β wormholes. Action: if you control Mecatol Rex…” | Tactical action movement; action phase | Cont / Act + Exh | Adds wormholes to Mecatol or places infantry there | Mixed | Two separate abilities, one continuous and one action. citeturn36view3 | Movement 58; component action. citeturn28view2turn26view9 | Jump to Mecatol from wormhole network |
| L4 Disruptors | faction tech | “During an invasion, units cannot use Space Cannon against your units.” | Invasion | Cont | Turns off defender Space Cannon against you | M | Clean anti-PDS invasion tech. citeturn36view4 | Space Cannon Defense. citeturn26view5 | Ignore PDS shots while landing |
| Inheritance Systems | faction tech | “You may exhaust this card and spend 2 resources when you research a technology; ignore all prerequisites.” | Research technology | Resp + Exh + cost | Ignores all prerequisites for one research | O | Cost must be payable. citeturn15view2turn36view5 | Costs and research timing. citeturn30view1turn31view0 | Jump directly to War Sun tech |
| Salvage Operations | faction tech | “After you win or lose a space combat, gain 1 trade good; if you won… produce 1 ship…” | Space combat end | Resp | Gain TG; if victor, produce a matching destroyed ship type | M / O | Triggers whether win or lose for the TG. citeturn36view5 | Space combat end. citeturn26view3 | Fight a battle, win, and immediately rebuild a destroyer |
| Hegemonic Trade Policy | faction tech | “Exhaust this card when units use Production; swap the resource and influence values of 1 planet you control until the end of your turn.” | Production | Resp + Exh | Temporarily converts a planet’s economy | O | Affects only until end of turn. citeturn36view6 | Production / turn duration. citeturn30view1 | Turn a 4-influence planet into a 4-resource factory |
| Nullification Field | faction tech | “After another player activates a system that contains 1 or more of your ships, you may exhaust this card and spend 1 token from your strategy pool; immediately end that player’s turn.” | Tactical activation | Resp + Exh + cost | Hard stop to an enemy turn | O | Very strong activation-based interrupt. citeturn36view6 | Activation / action phase. citeturn29view0turn6view3 | End an enemy attack before movement |
| Dimensional Splicer | faction tech | “At the start of space combat in a system that contains a wormhole and 1 or more of your ships, you may produce 1 hit…” | Space combat start | Resp | Auto-hit in wormhole combat | O | One of the canonical “start of combat” hits that can later be canceled by Shields Holding. citeturn37view0turn6view0 | Space combat start. citeturn26view3 | Open combat with a pre-roll hit |
| Valkyrie Particle Weave | faction tech | “After making combat rolls during a round of ground combat, if your opponent produced 1 or more hits, you produce 1 additional hit.” | Ground combat, after combat rolls | Resp | Counter-hit in every qualifying combat round | M | Triggers off opponent producing at least one hit. citeturn37view1 | Ground combat round timing. citeturn29view0turn30view1 | Even while losing rolls, still hit back once |
| Carrier II / Cruiser II / Destroyer II | unit tech | Carrier II and Cruiser II have no special triggered text; Destroyer II gains “Anti-Fighter Barrage 6 (x3).” | N/A / combat | Cont | Mostly improved stats; Destroyer II materially changes AFB volume | M | No separate triggered text on Carrier II/Cruiser II beyond printed stats. citeturn35view2turn35view3turn35view1 | Unit upgrade rules. citeturn15view4 | Cruiser II reaches farther; Destroyer II screens fighters harder |
| Dreadnought II / Super-Dreadnought II / Exotrireme II | unit tech | DN II and Super-DN II: “This unit cannot be destroyed by ‘Direct Hit’”; Exotrireme II adds “After a round of space combat, you may destroy this unit to destroy up to 2 ships…” | Space combat end for Exotrireme; otherwise Cont | Cont / Resp | Anti-Direct-Hit dreadnoughts; Exotrireme trades itself for ships | Mixed | Direct Hit immunity is a constant card-rule override. citeturn33view1 | Sustain Damage, Direct Hit, combat end. citeturn30view1turn26view3 | Sacrifice Exotrireme II after round 1 to kill two ships |
| Fighter II / Hybrid Crystal Fighter II | unit tech | Fighter II: “This unit may move without being transported… excess fighters count against fleet pool.” Hybrid Crystal Fighter II: same movement, but excess count as 1/2 ship. | Movement / fleet check | Cont | Independent fighters, modified fleet accounting | M | Fleet-pool checks especially matter in status cleanup and after moves. citeturn34view2 | Ships / fleet pool. citeturn30view3turn28view2 | Naalu can carry larger free-floating fighter screens |
| Infantry II / Spec Ops II / Letani Warrior II / Crimson Legionnaire II | unit tech | All four trigger “After this unit is destroyed…” and return on your next turn; Sol improves roll to 5+; Arborec keeps Production 2; Mahact gains commodity/trade-good clause before placing on card. | Destruction; start of your next turn | Resp | Infantry come back later; faction variants add bonuses | Mixed | These are classic delayed-return effects. citeturn34view1turn35view0 | Destruction timing, next-turn timing. citeturn30view1turn6view3 | Lose infantry in combat; some return next turn |
| PDS II / Hel Titan II | unit tech | PDS II: “You may use this unit’s SPACE CANNON against ships that are adjacent…”; Hel Titan II adds “treated as both structure and ground force… cannot be transported… Sustain Damage… Production 1.” | Space Cannon Offense | Cont | Adjacent deep-space fire; Titans get multifunction PDS-mech hybrid | M/O | Adjacent firing matters only in Space Cannon Offense, not Defense. citeturn34view0turn14search12 | Space Cannon 77.2 and 77.8. citeturn26view4turn26view5 | Fire from adjacent system into incoming fleet |
